source,model_or_table,current_role,target_layer,target_concept,decision,stage,replacement_or_retirement,acceptance_criteria,notes
Relish,AgentRunEntity,Agent audit entity link,Platform/Agent,Run entity audit,Keep,None,,,
Dorian,users,Public agent user,Reference / future interface,Account -> Person,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,conversations,Agent conversation record,Reference / future interface,Interaction,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,calls,Telephony call envelope,Reference / future interface,Channel event linked to Interaction,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_profile_fragments,Per-call extracted profile fragments,Reference / future interface,KnowledgeClaim proposals,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_conversation_memory,Conversation memory snapshots,Reference / future interface,Interaction-derived memory,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_memory_profiles,Long-term agent-domain summary,Reference / future interface,MemoryProjection,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_wants,Simple persistent wants,Reference / future interface,Core Want,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_offers,Simple persistent offers,Reference / future interface,Core Offer,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,connection_requests,Explicit connection search request,Reference / future interface,Objective/Want/Match request,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,connection_matches,Prototype user match,Reference / future interface,PotentialMatch + MatchParticipant,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,recommendations,Presented suggestion,Reference / future interface,Match/suggestion presentation,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,action_items,User follow-up action,Reference / future interface,Action proposal -> Task,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,agent_action_items,Agent follow-up action,Reference / future interface,Action proposal/run,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,agents,Agent/channel configuration,Reference / future interface,Agent persona/deployment,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,default_offers,Agent onboarding defaults,Reference / future interface,Agent configuration,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,email_followups,Agent communication queue,Reference / future interface,Communication action,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,notification_preferences,User notification settings,Reference / future interface,Notification preferences,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,policies,Legal/terms policy definitions,Reference / future interface,Legal policy,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_policies,Terms acceptance,Reference / future interface,Legal consent evidence,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,twilio_call_payloads,Transport payload,Reference / future interface,Channel transport,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_profiles,Domain profile fields,Reference / future interface,Person/context profile claims,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Dorian,user_roles,Agent-domain role labels,Reference / future interface,Contextual role/profile claim,Reference only,Future Dorian v2 / unscheduled,No migration of old Dorian table,Old Dorian backend remains frozen; future Dorian uses Relish Core APIs,No existing Dorian data needs transition. Preserve only useful product/interface ideas or selected transport/persona code.
Future Core,Person,Not present,Core,Canonical identity node,Add,8.1,Subsumes linkedUserId identity role,User/Contact can reference Person without exposing workspace-private data,Minimal identity only at first; do not move all encrypted Contact PII into Person
Future Core,KnowledgeClaim,Not present,Core,Contextual evidence/assertion,Add selectively,8.2,"Complements structured entities, does not replace them","Source, authority and confidence remain distinguishable",Do not turn every CRM field into a claim immediately
Future Core,Introduction,Not present,Core/Workspace bridge,Actual connection event,Add,8.2,,Manual Workspace capture works and preserves parties/context/source,Moved forward before matching automation
Future Core,Outcome,Not present,Core/Workspace bridge,Result of introduction,Add,8.2,,Manual outcome can be linked to Introduction and recorded over time,Build real evidence for future match design
Future Core,ScopedAgentRepository,Not present,Core/Platform,Enforced relationship-data access boundary,Add incrementally,8.1-8.5,Replaces direct agent relationship-data Prisma reads,Normal agent relationship reads require tenant/purpose-scoped context,Audit/run bookkeeping may remain direct
Future Core,DisclosureGrant,Not present,Core Trust,Specific disclosure/consent grant,Add,8.8,,Recipient/purpose/scope/source/revocation represented,Can be created from future conversational consent
Future Core,PotentialMatch,Not present,Core Network,Candidate compatibility record,Add manual first,8.9,,Manual matches recorded without cross-tenant raw visibility,Automated matcher remains off initially
Future Core,MatchableProjection,Not present,Core Trust/Network,Permission-minimised matching representation,Add,8.11,Network vector derives from this rather than raw private record,Network matcher cannot retrieve raw private source through projection path,Embedding is sensitive derived data
